KEY,addedDate,reviewDate,realName,verifiedPurchase,totalVotes,helpfulVotes,fullRating,rating,title,customerID,customerName,reviewID,itemID
136,"2016/06/30 00:43:30",2015/02/06,N/A,false,-1,0,5,1,"Really a stupid move and even dumber explanation and fixes","","",R1G0WKWD9XPAT,B00NG7JVSQ
137,"2016/06/30 00:43:30",2015/01/28,N/A,false,-1,0,5,1,"New Coke? Netflix plan split and price hike? Add Intuit 2014 Tax Products to the list.","","",R2U0O5GGMBA51Q,B00NG7JVSQ
138,"2016/06/30 00:43:30",2014/12/30,N/A,false,-1,0,5,1,"Do your homework BEFORE buying 2014 Turbo Tax Deluxe - you may be surprised what you DON'T get when you prepare your return","","",RLTBER0YJ4D36,B00NG7JVSQ
139,"2016/06/30 00:43:30",2015/01/04,N/A,false,-1,0,5,1,"Keeps getting worse year after year and now it's at the lowest point ever.","","",R3RAV1XVYPSMPL,B00NG7JVSQ
140,"2016/06/30 00:43:30",2015/02/04,N/A,false,-1,0,5,1,"Gone to H&R Block. Not coming back.","","",R3RAU8W60VSJOR,B00NG7JVSQ
141,"2016/06/30 00:43:30",2015/01/28,N/A,true,-1,0,5,1,"Don't waste your money on worthless state downloads","","",R2OINWA1O2YN41,B00NG7JVSQ
142,"2016/06/30 00:43:30",2015/02/06,N/A,false,-1,0,5,1,"I'll give you an upgrade....","","",R2IK1JHKNBTZ53,B00NG7JVSQ
143,"2016/06/30 00:43:30",2015/02/01,N/A,false,-1,0,5,1,"Comical fiasco","","",R23QY15Q8QC1IN,B00NG7JVSQ
144,"2016/06/30 00:43:30",2015/01/28,N/A,false,-1,0,5,1,"TurboTax Deluxe 2014 -- the most successful and cost effective advertising campaign ever for H&R Block's tax software!","","",R2HP5ODAGDQBLX,B00NG7JVSQ
145,"2016/06/30 00:43:30",2015/02/04,N/A,false,-1,0,5,1,"this is what customer loyalty means to intuit","","",R3IARG6TRFSOMN,B00NG7JVSQ
146,"2016/06/30 00:43:30",2015/02/07,N/A,false,-1,0,5,1,"I am sad that this product decided to push me away this ...","","",RVNGA9BRXWDPA,B00NG7JVSQ
147,"2016/06/30 00:43:30",2015/01/27,N/A,false,-1,0,5,1,"Removing Schedule D, which is required for anyone with ...","","",R9U0X4UXVKQ5S,B00NG7JVSQ
148,"2016/06/30 00:43:30",2015/01/26,N/A,false,-1,0,5,1,"Products should improve, not degrade, year over year. My opinion is described here and with my wallet.","","",R3TKCJELJ1FDPX,B00NG7JVSQ
149,"2016/06/30 00:43:30",2015/01/27,N/A,false,-1,0,5,1,"What a joke they want $35 to fill out a ...","","",R17FU5DPFG7DO2,B00NG7JVSQ
150,"2016/06/30 00:43:30",2015/02/05,N/A,true,-1,0,5,1,"stay away","","",R2CIQYGT02T7GR,B00NG7JVSQ
151,"2016/06/30 00:43:30",2015/02/05,N/A,true,-1,0,5,1,"Customer since 2002, now looking for new tax software","","",R1ZRSU50T8U5U0,B00NG7JVSQ
152,"2016/06/30 00:43:30",2015/01/27,N/A,false,-1,0,5,1,"Bad ""Form"", Intuit","","",R3PUUW2V36F0AV,B00NG7JVSQ
153,"2016/06/30 00:43:30",2014/12/17,N/A,true,-1,0,5,1,"TurboTax deliberately dumbed down this software","","",RFDAYB5YV8QHG,B00NG7JVSQ
154,"2016/06/30 00:43:30",2015/01/26,N/A,false,-1,0,5,2,"Apology Not Accepted. UPDATE - FREE UPGRADE","","",R11MDFMXSAC17B,B00NG7JVSQ
155,"2016/06/30 00:43:30",2015/01/23,N/A,false,-1,0,5,1,"Rip-Off and Be Careful with Personal Info (SSN)","","",RR9N1YM12J0XQ,B00NG7JVSQ
156,"2016/06/30 00:43:30",2014/12/01,N/A,false,-1,0,5,1,"I'm done with buying TurboTax after many many years. ...","","",R1YZFHVG1955PL,B00NG7JVSQ
157,"2016/06/30 00:43:30",2015/01/26,N/A,false,-1,0,5,1,"TurboTax Deluxe 2014 trashed by greed, Do not buy!","","",R1H14KC55SUB5L,B00NG7JVSQ
